,INDONESIA,,,JAWA,,,Inggris,
NO,Pertanyaan,Jawaban,,Pertanyaan ,Jawaban,,Pertanyaan,Jawaban
1,kapan kalian makan soto lamongan?,"Kami sangat merindukan cita rasa soto Lamongan yang kami nikmati kemarin, sehingga membuat kami ingin segera kembali untuk menikmatinya lagi",,Kapan mangan Soto Lamongan?,"Wes kangen banget karo rasane Soto Lamongan sing wingi di nikmati, dadi pengen enggal bali ngrasakno maneh. seneng maneh.",,When do you eat Soto Lamongan?,"We really miss the taste of the Lamongan soto that we enjoyed yesterday, so it makes us want to come back immediately to enjoy it again. We really miss the taste of the Lamongan soto that we enjoyed yesterday, so it makes us want to come back immediately to enjoy it again."
2,bagaimana rasa soto lamongan?,"Aku sangat menikmati hidangan soto Lamongan yang begitu lezat. Kuahnya begitu gurih, daging ayamnya empuk, dan bumbunya begitu pas. Rasanya begitu enak sekali sehingga membuatku ingin mencoba lagi di lain waktu.",,Piye rasane Soto Lamongan?,"Aku seneng banget karo panganan Soto Lamongan sing enak. Sambelnya enak banget, daging ayamnya empuk, bumbunya pas. Rasane enak banget, mula aku pengin nyoba maneh ing wektu liyane.",,How does Soto Lamongan taste?,"I really enjoyed the delicious Soto Lamongan dish. The sauce is so tasty, the chicken meat is tender, and the spices are just right. It tasted so good that it made me want to try again another time."
3,dimana dia akan makan pempek?,"dia memilih untuk menikmati hidangan khas daerah itu, yaitu pempek, di bawah bayangan megah Jembatan Ampera.",,ngendi dheweke arep mangan pempek?,"dheweke milih ngrasakake khas daerah, yaiku pempek, ing sangisore ayang-ayangan megah Jembatan Ampera.",,where will he eat pempek?,"he chose to enjoy the regional specialty, namely pempek, under the majestic shadow of the Ampera Bridge."
4,dimana mereka makan ayam?,"mereka sangat menikmati hidangan ayam di Warung Ayam Nelongo, sambil menikmati suasana yang nyaman di sana.",,ngendi padha mangan pitik?,"padha seneng banget karo masakan pitik ing Warung Ayam Nelongo, sinambi ngrasakake swasana nyaman ing kono.",,where do they eat chicken?,"they really enjoyed the chicken dishes at Warung Ayam Nelongo, while enjoying the comfortable atmosphere there."
5,dimana dia minum dawet?,dia dengan lahap menikmati segelas dawet yang berwarna hijau segar di pinggir jalan yang ramai.,,ngendi dheweke ngombe dawet?,dheweke sregep ngrasakake segelas dawet ijo seger ing pinggir dalan sing rame.,,where does he drink dawet?,he was eagerly enjoying a glass of fresh green dawet on the side of a busy road.
6,Apa yang membuat bakso Malang begitu istimewa?,"Bakso Malang terkenal karena kuah kentalnya yang lezat dan pentol goreng yang gurih, membuatnya menjadi hidangan yang sangat dihargai di Malang.",,Apa sing dadi spesial bakso Malang?,"Bakso Malang misuwur kanthi saos kental sing enak lan pentol goreng sing gurih, dadi panganan sing disenengi ing Malang.",,What makes Malang meatballs so special?,"Bakso Malang is famous for its delicious thick sauce and savory fried pentol, making it a highly appreciated dish in Malang."
7,Di mana tempat terbaik untuk menikmati sarapan tradisional Malang?,"Anda dapat mencoba sarapan tradisional Malang di Warung Kampoeng Tempo Doeloe, di mana mereka menyajikan hidangan seperti bubur ayam dan nasi pecel yang autentik.",,Ing endi papan sing paling apik kanggo nikmati sarapan tradisional Malang?,"Sampeyan bisa nyoba sarapan tradisional Malang ing Warung Kampoeng Tempo Doeloe, ngendi padha nyediakake masakan kaya bubur ayam asli lan sega pecel.",,Where is the best place to enjoy a traditional Malang breakfast?,"You can try a traditional Malang breakfast at Warung Kampoeng Tempo Doeloe, where they serve dishes like authentic chicken porridge and rice pecel."
8,Apa yang membuat makanan jalanan di Alun-Alun Malang begitu populer?,"Makanan jalanan di Alun-Alun Malang populer karena beragamnya pilihan makanan mulai dari bakso hingga jajanan pasar, serta suasana yang hidup di sekitar area tersebut.",,Apa sing ndadekake jajanan pinggir dalan ing Alun-Alun Malang dadi populer?,"Jajan jalanan ing Alun-Alun Malang populer amarga macem-macem pilihan panganan wiwit saka bakso nganti jajanan pasar, uga swasana sing rame ing sekitar wilayah kasebut.",,What makes street food in Alun-Alun Malang so popular?,"Street food in Alun-Alun Malang is popular due to the wide variety of food choices ranging from meatballs to market snacks, as well as the lively atmosphere around the area."
9,Apakah ada makanan penutup yang patut dicoba di Malang?,"Untuk makanan penutup, Anda harus mencicipi es krim klasik di Toko Oen, yang telah menjadi ikon kuliner Malang selama bertahun-tahun.",,Apa ana panganan cuci mulut sing patut dicoba ing Malang?,"Kanggo panganan cuci mulut, sampeyan kudu nyoba es krim klasik ing Toko Oen, sing wis dadi ikon kuliner Malang pirang-pirang taun.",,Are there any desserts worth trying in Malang?,"For dessert, you should try the classic ice cream at Toko Oen, which has been a Malang culinary icon for many years."
10,Dimana saya bisa menemukan warung kopi yang nyaman di Malang?,Anda bisa menemukan warung kopi yang nyaman di Kampung Heritage dikarenakan tempat tersebut sangat populer di wilayah Malang,,Ing ngendi aku bisa nemokake warung kopi sing nyaman ing Malang?,Sampeyan bisa nemokake warung kopi sing nyaman ing Kampung Heritage amarga panggonan iki misuwur banget ing wilayah Malang,,Where can I find a comfortable coffee shop in Malang?,You can find a comfortable coffee shop in Kampung Heritage because this place is very popular in the Malang area
11,Apa makanan eksotis yang bisa dicoba di Malang?,"Cobalah sate kelinci, hidangan eksotis yang tersedia di beberapa warung khusus di Malang. Ini adalah pengalaman kuliner yang berbeda.",,Panganan eksotis apa sing bisa sampeyan coba ing Malang?,"Coba sate terwelu, panganan eksotis sing kasedhiya ing sawetara warung khusus ing Malang. Iki pengalaman kuliner sing beda.",,What exotic foods can you try in Malang?,"Try rabbit satay, an exotic dish available at several specialty stalls in Malang. This is a different culinary experience."
12,Bisakah saya memakan soto makasar di Surabaya?,"Soto Makasar berasal dari wilayah Makasar, Provisi Sulawesi Selatan, Indonesia. Untuk menemukan soto makasar di surabaya anda bisa mengunjungi di Jl Kupang indah, Surabaya",,Apa aku bisa mangan Soto Makassar ing Surabaya?,"Soto Makasar berasal dari wilayah Makasar, Sulawesi Selatan, Indonesia. Kanggo nemokake Soto Makassar ing Surabaya, sampeyan bisa ngunjungi Jl Kupang Indah, Surabaya",,Can I eat Soto Makassar in Surabaya?,"Soto Makasar comes from the Makasar region, South Sulawesi Province, Indonesia. To find Soto Makassar in Surabaya, you can visit Jl Kupang Indah, Surabaya"
